EventID,季節,大約日期,地點,事件名稱,事件分類,神學主題,焦點,耶穌品格,福音中心,福音中心_備註,福音中心_原文,經文總覽,經文_太,經文_可,經文_路,經文_約,經文_其他,經文狀態,合參原則,年代確信度,順序確信度,舊約串珠,OT_註解,資料類型
E-011,春,西元前 5 年,伯利恆/居所(未明載),割禮與命名,降生>立約記號>割禮與命名(順服律法),律法成全,名為耶穌(第八天/非聖殿),順服、謙卑、信實,耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。,（聚焦：名為耶穌(第八天/非聖殿)） 〔見Lk敘事脈絡〕,在「割禮與命名」中，耶穌以降生揭開神國的真相：基督進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。（聚焦：名為耶穌(第八天/非聖殿)）〔見Lk敘事脈絡〕,Lk 2:21,,,Lk 2:21,,,經文明載,節期標記,中,高,,,事件
E-012,春,西元前 5 年,耶路撒冷聖殿,獻嬰禮與西面的頌讚,降生>敬拜>獻嬰禮與光照萬民,啟示,以色列的安慰(第四十天),信實、安慰、盼望,神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。,（聚焦：以色列的安慰(第四十天)） 〔見Lk敘事脈絡〕,在「獻嬰禮與西面的頌讚」中，耶穌以降生揭開神國的真相：神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。（聚焦：以色列的安慰(第四十天)）〔見Lk敘事脈絡〕,Lk 2:22-38,,,Lk 2:22-38,,,經文明載,節期標記,中,高,【M】[彌賽亞預言] 賽 42:6; 賽 49:6,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-013,春,西元前 4 年,伯利恆,東方博士朝拜,降生>列國敬拜>外邦來朝與君王之星,外邦敬拜,君王,榮耀、吸引、普世,耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。,（聚焦：君王） 〔見Mt敘事脈絡〕,在「東方博士朝拜」中，耶穌以降生揭開神國的真相：基督進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。（聚焦：君王）〔見Mt敘事脈絡〕,Mt 2:1-12,Mt 2:1-12,,,,,經文明載,經文段落連結,低,中,【M】[彌賽亞預言] 民 24:17; 詩 72:10-11; 賽 60:1-6,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-014,春,西元前 4 年,往埃及路上,逃往埃及,降生>保護>下埃及與新出埃及預表,受難預表,神意保全,保護、信實、引導,神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。,（聚焦：神意保全） 〔見Mt敘事脈絡〕,在「逃往埃及」中，耶穌以降生揭開神國的真相：神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。（聚焦：神意保全）〔見Mt敘事脈絡〕,Mt 2:13-15,Mt 2:13-15,,,,,經文明載,經文段落連結,低,中,,,事件
E-015,春,西元前 4 年,伯利恆/拉瑪,希律屠嬰,降生>黑暗對抗>希律屠嬰與哀哭,苦難,拉結哭子,憐憫、同理、悲憫,道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。,（聚焦：拉結哭子） 〔見Mt敘事脈絡〕,在「希律屠嬰」中，耶穌以降生揭開神國的真相：道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。（聚焦：拉結哭子）〔見Mt敘事脈絡〕,Mt 2:16-18,Mt 2:16-18,,,,,經文明載,經文段落連結,低,中,,,事件
E-016,春,西元前 4 年,拿撒勒,歸回拿撒勒,成長>隱藏歲月>歸回拿撒勒與平凡成聖,應驗,路2:39摘要句(需插入Mt2:1-18),謙卑、忍耐、順服,在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。,"（聚焦：路2:39摘要句(需插入Mt2:1-18)） 〔見Lk,Mt敘事脈絡〕","在「歸回拿撒勒」中，耶穌以事件揭開神國的真相：在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。（聚焦：路2:39摘要句(需插入Mt2:1-18)）〔見Lk,Mt敘事脈絡〕",Mt 2:19-23 | Lk 2:39,Mt 2:19-23,,Lk 2:39,,,經文明載,合參推論 (路加敘事壓縮),低,中,【M】[彌賽亞預言] 賽 11:1; 撒下 7:12-16,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-017,春,西元 8 年,耶路撒冷聖殿,十二歲在聖殿,成長>身分覺醒>在聖殿以父的事為念,身分覺醒,以父的事為念,渴慕真理、順服、智慧,在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。,（聚焦：以父的事為念） 〔見Lk敘事脈絡〕,在「十二歲在聖殿」中，耶穌以事件揭開神國的真相：在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。（聚焦：以父的事為念）〔見Lk敘事脈絡〕,Lk 2:40-52,,,Lk 2:40-52,,,經文明載,節期標記,中,高,,,事件
E-018,春,約 西元 27 年,猶大曠野,施洗約翰的曠野呼聲,啟示>關鍵事件>身分與使命確立,悔改,天國近了,信實、順服、權柄,耶穌的身分在任何人的回應之前先被宣告，顯明被接納不是績效換來，而是白白的愛先行。,"（聚焦：天國近了） 〔見Lk,Mk,Mt敘事脈絡〕","在「施洗約翰的曠野呼聲」中，耶穌以啟示揭開神國的真相：耶穌的身分在任何人的回應之前先被宣告，顯明被接納不是績效換來，而是恩典先行。（聚焦：天國近了）〔見Lk,Mk,Mt敘事脈絡〕",Mt 3:1-12 | Mk 1:1-8 | Lk 3:1-20,Mt 3:1-12,Mk 1:1-8,Lk 3:1-20,,,經文明載,經文段落連結,高,高,【T】[彌賽亞預言] 賽 42:1,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-019,春,約 西元 27 年,約旦河,耶穌受洗,身分>啟示>受洗與聖子宣告,身分確認,愛子,謙卑、順服、身份確立,在試探與考驗中，耶穌替我們承受並得勝，顯明拯救不是教人更強，而是有人已為軟弱者打贏那場戰。,"（聚焦：愛子） 〔見Lk,Mk,Mt敘事脈絡〕","在「耶穌受洗」中，耶穌以受洗揭開神國的真相：在試探與考驗中，基督替我們承受並得勝，顯明拯救不是教人更強，而是有人已為軟弱者打贏那場戰。（聚焦：愛子）〔見Lk,Mk,Mt敘事脈絡〕",Mt 3:13-17 | Mk 1:9-11 | Lk 3:21-22,Mt 3:13-17,Mk 1:9-11,Lk 3:21-22,,,經文明載,經文段落連結,高,高,【M】[彌賽亞預言] 賽 42:1; 詩 2:7; 賽 53:12,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-020,後設,—,歷史檔案,路加家譜:人子的源頭,,普世救主,神的兒子,,此列屬後設/序言：神已在話語中主動啟示並定義耶穌，為整個救恩敘事奠基，使信心建立在神先說話的白白的愛上。,（聚焦：神的兒子） 〔見Lk敘事脈絡〕,在「路加家譜:人子的源頭」中，耶穌以宣告揭開神國的真相：此列屬後設/序言：神已在話語中主動啟示並定義基督，為整個救恩敘事奠基，使信心建立在神先說話的恩典上。（聚焦：神的兒子）〔見Lk敘事脈絡〕,Lk 3:23-38,,,Lk 3:23-38,,,後設資料,福音書順序,高,高,,,後設資料
E-021,春,約 西元 27 年,猶大曠野,曠野試探,爭戰>得勝>曠野試探(新以色列),得勝,經上已記,堅毅、信靠、節制,在試探與考驗中，耶穌替我們承受並得勝，顯明拯救不是教人更強，而是有人已為軟弱者打贏那場戰。,"（聚焦：經上已記） 〔見Lk,Mk,Mt敘事脈絡〕","在「曠野試探」中，耶穌以試探揭開神國的真相：在試探與考驗中，基督替我們承受並得勝，顯明拯救不是教人更強，而是有人已為軟弱者打贏那場戰。（聚焦：經上已記）〔見Lk,Mk,Mt敘事脈絡〕",Mt 4:1-11 | Mk 1:12-13 | Lk 4:1-13,Mt 4:1-11,Mk 1:12-13,Lk 4:1-13,,,經文明載,經文段落連結,高,高,,,事件
E-022,春,約 西元 27 年,約旦河外,施洗約翰的見證,啟示>序言>道成肉身與光,見證,神的羔羊,榮耀、真理、恩典,神先向人揭露耶穌的真實身分，救恩的起點不是人找到神，而是神把自己給人看見，讓信心有可依據的對象。,（聚焦：神的羔羊） 〔見Jn敘事脈絡〕,在「施洗約翰的見證」中，耶穌以啟示揭開神國的真相：神先向人揭露基督的真實身分，救恩的起點不是人找到神，而是神把自己給人看見，讓信心有可依據的對象。（聚焦：神的羔羊）〔見Jn敘事脈絡〕,Jn 1:19-34,,,,Jn 1:19-34,,經文明載,福音書順序,低,中,【M】[彌賽亞預言] 創 1:1-3; 出 34:6; 賽 9:2,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-023,春,約 西元 27 年,猶大地區,初次呼召門徒,門訓>呼召>跟從與塑造,跟隨,我們遇見彌賽亞,耐心、洞察、權柄,差遣不是在救火，因為耶穌已先完成工作；我們只要跟上祂已啟動的國度，不用替祂補缺。,（聚焦：我們遇見彌賽亞） 〔見Jn敘事脈絡〕,在「初次呼召門徒」中，耶穌以呼召揭開神國的真相：差遣不是補救計畫，而是因基督已先完成工作；我們被邀請參與祂已啟動的國度，而不是替祂補上缺口。（聚焦：我們遇見彌賽亞）〔見Jn敘事脈絡〕,Jn 1:35-42,,,,Jn 1:35-42,,經文明載,福音書順序,低,中,,,事件
E-024,春,約 西元 27 年,往加利利路上,呼召腓力與拿但業,門訓>呼召>跟從與塑造,全知,看見更大的事,耐心、洞察、權柄,呼召與塑造先從『與主同在』開始，而非先要求產出；耶穌先把不合格的人納入關係，顯明救恩不是精英挑選，而是白白的愛聚集。,（聚焦：看見更大的事） 〔見Jn敘事脈絡〕,在「呼召腓力與拿但業」中，耶穌以呼召揭開神國的真相：呼召與塑造先從『與主同在』開始，而非先要求產出；耶穌先把不合格的人納入關係，顯明救恩不是精英挑選，而是恩典聚集。（聚焦：看見更大的事）〔見Jn敘事脈絡〕,Jn 1:43-51,,,,Jn 1:43-51,,經文明載,地理關聯,低,中,,,事件
E-025,夏,約 西元 27 年,迦拿,迦拿變水為酒,敘事>行旅互動>接待與筵席,轉化,榮耀初顯,同理、耐心、智慧,衝突與冒犯揭露人對白白的愛的抗拒，但耶穌仍堅持把真理帶到人面前；因此救恩不是迎合，而是拯救。,（聚焦：榮耀初顯） 〔見Jn敘事脈絡〕,在「迦拿變水為酒」中，耶穌以行旅互動揭開神國的真相：衝突與冒犯揭露人對恩典的抗拒，但耶穌仍堅持把真理帶到人面前；因此救恩不是迎合，而是拯救。（聚焦：榮耀初顯）〔見Jn敘事脈絡〕,Jn 2:1-12,,,,Jn 2:1-12,,經文明載,地理關聯,低,中,【M】[彌賽亞預言] 創 12:3; 詩 23:3,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-026,夏,約 西元 27 年,耶路撒冷,潔淨聖殿(約翰記載),降生/成長>敘事>救恩歷史開場,聖潔,約2與對觀末週潔殿是否同一事件(兩路線並存),信實、謙卑、恩典,耶穌在人的時間裡成長，顯明救恩不是跳過人性，而是拯救並重塑人性；我們不必假裝完美，因為祂已進入並更新我們的真實。,（聚焦：約2與對觀末週潔殿是否同一事件(兩路線並存)） 〔見Jn敘事脈絡〕,在「潔淨聖殿(約翰記載)」中，耶穌以降生與成長揭開神國的真相：耶穌在人的時間裡成長，顯明救恩不是跳過人性，而是救贖並重塑人性；我們不必假裝完美，因為祂已進入並更新我們的真實。（聚焦：約2與對觀末週潔殿是否同一事件(兩路線並存)）〔見Jn敘事脈絡〕,Jn 2:13-25,,,,Jn 2:13-25,,經文明載,學術共識 (兩路線並存),中,中,【T】[彌賽亞預言] 創 12:3; 賽 9:6-7,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-027,夏,約 西元 27 年,耶路撒冷,尼哥底母夜訪,敘事>行旅互動>私下教導>門徒價值翻轉,重生,神愛世人,同理、耐心、智慧,這段敘事把人的需要與耶穌的同在放在一起，宣告救恩不是抽象理念，而是神在具體處境中主動施恩。,（聚焦：神愛世人） 〔見Jn敘事脈絡〕,在「尼哥底母夜訪」中，耶穌以行旅互動揭開神國的真相：這段敘事把人的需要與耶穌的同在放在一起，宣告救恩不是抽象理念，而是神在具體處境中主動施恩。（聚焦：神愛世人）〔見Jn敘事脈絡〕,Jn 3:1-21,,,,Jn 3:1-21,,經文明載,福音書順序,低,中,【M】[彌賽亞預言] 創 12:3; 詩 23:3,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-028,夏,約 西元 27 年,猶大/比利亞,施洗約翰最後的見證,敘事>行旅互動>私下教導>門徒價值翻轉,興替,他必興旺,同理、耐心、智慧,衝突與冒犯揭露人對白白的愛的抗拒，但耶穌仍堅持把真理帶到人面前；因此救恩不是迎合，而是拯救。,（聚焦：他必興旺） 〔見Jn敘事脈絡〕,在「施洗約翰最後的見證」中，耶穌以行旅互動揭開神國的真相：衝突與冒犯揭露人對恩典的抗拒，但耶穌仍堅持把真理帶到人面前；因此救恩不是迎合，而是拯救。（聚焦：他必興旺）〔見Jn敘事脈絡〕,Jn 3:22-36,,,,Jn 3:22-36,,經文明載,福音書順序,中,高,【M】[彌賽亞預言] 創 12:3; 詩 23:3,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-029,夏,約 西元 27 年,敘加,撒馬利亞婦人,降生>敬拜>尊主頌與恩典反轉,敬拜,活水,敬畏、喜樂、信靠,神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。,（聚焦：活水） 〔見Jn敘事脈絡〕,在「撒馬利亞婦人」中，耶穌以降生揭開神國的真相：神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。（聚焦：活水）〔見Jn敘事脈絡〕,Jn 4:1-42,,,,Jn 4:1-42,,經文明載,地理關聯,低,中,,,事件
E-030,夏,約 西元 27 年,迦拿,醫治大臣之子,神蹟>醫治>身體復原與整全,信心,話語權柄,憐憫、權柄、溫柔,在醫治/恢復裡，耶穌把人從失能與羞恥中領回整全；救恩不只是靈魂口號，而是神親自恢復人被奪走的生命。,（聚焦：話語權柄） 〔見Jn敘事脈絡〕,在「醫治大臣之子」中，耶穌以醫治揭開神國的真相：在醫治/恢復裡，耶穌把人從失能與羞恥中領回整全；救恩不只是靈魂口號，而是神親自恢復人被奪走的生命。（聚焦：話語權柄）〔見Jn敘事脈絡〕,Jn 4:43-54,,,,Jn 4:43-54,,經文明載,地理關聯,低,中,【M】[彌賽亞預言] 賽 35:5-6; 賽 53:4-5,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-031,夏,約 西元 28 年,拿撒勒會堂,拿撒勒遭拒,降生/成長>敘事>救恩歷史開場,先知被棄,可能與Mk6平行(是否同一事件有爭議),信實、謙卑、恩典,耶穌在人的時間裡成長，顯明救恩不是跳過人性，而是拯救並重塑人性；我們不必假裝完美，因為祂已進入並更新我們的真實。,（聚焦：可能與Mk6平行(是否同一事件有爭議)） 〔見Lk敘事脈絡〕,在「拿撒勒遭拒」中，耶穌以降生與成長揭開神國的真相：耶穌在人的時間裡成長，顯明救恩不是跳過人性，而是救贖並重塑人性；我們不必假裝完美，因為祂已進入並更新我們的真實。（聚焦：可能與Mk6平行(是否同一事件有爭議)）〔見Lk敘事脈絡〕,Lk 4:14-30,,,Lk 4:14-30,,,經文明載,學術共識 (兩路線並存),中,高,【M】[彌賽亞預言] 創 12:3; 賽 9:6-7,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-032,夏,約 西元 28 年,迦百農,遷居迦百農,敘事>行旅互動>差派與回顧,應驗,大光,同理、耐心、智慧,這段敘事把人的需要與耶穌的同在放在一起，宣告救恩不是抽象理念，而是神在具體處境中主動施恩。,"（聚焦：大光） 〔見Lk,Mt敘事脈絡〕","在「遷居迦百農」中，耶穌以行旅互動揭開神國的真相：這段敘事把人的需要與耶穌的同在放在一起，宣告救恩不是抽象理念，而是神在具體處境中主動施恩。（聚焦：大光）〔見Lk,Mt敘事脈絡〕",Mt 4:13-17 | Lk 4:31-32,Mt 4:13-17,,Lk 4:31-32,,,經文明載,地理關聯,中,高,【M】[彌賽亞預言] 創 12:3; 詩 23:3,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-033,夏,約 西元 28 年,加利利海邊,再次呼召四門徒,門訓>呼召>跟從與塑造,呼召,得人如魚,耐心、洞察、權柄,差遣不是在救火，因為耶穌已先完成工作；我們只要跟上祂已啟動的國度，不用替祂補缺。,"（聚焦：得人如魚） 〔見Lk,Mk,Mt敘事脈絡〕","在「再次呼召四門徒」中，耶穌以呼召揭開神國的真相：差遣不是補救計畫，而是因基督已先完成工作；我們被邀請參與祂已啟動的國度，而不是替祂補上缺口。（聚焦：得人如魚）〔見Lk,Mk,Mt敘事脈絡〕",Mt 4:18-22 | Mk 1:16-20 | Lk 5:1-11,Mt 4:18-22,Mk 1:16-20,Lk 5:1-11,,,經文明載,經文段落連結,中,高,,,事件
E-034,夏,約 西元 28 年,迦百農會堂,迦百農會堂趕鬼,權能>趕鬼>國度與黑暗權勢對決,權柄,安息日趕鬼,權柄、憐憫、剛強,耶穌驅逐污穢與壓迫，預告十字架的得勝將徹底定案；因此自由不是自我改造的成果，而是祂戰勝的禮物。,"（聚焦：安息日趕鬼） 〔見Lk,Mk敘事脈絡〕","在「迦百農會堂趕鬼」中，耶穌以趕鬼揭開神國的真相：耶穌驅逐污穢與壓迫，預告十字架的得勝將徹底定案；因此自由不是自我改造的成果，而是祂戰勝的禮物。（聚焦：安息日趕鬼）〔見Lk,Mk敘事脈絡〕",Mk 1:21-28 | Lk 4:31-37,,Mk 1:21-28,Lk 4:31-37,,,經文明載,經文段落連結,高,高,【M】[彌賽亞預言] 創 3:15; 賽 61:1; 詩 107:13-14,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-035,夏,約 西元 28 年,彼得家,醫治彼得岳母,神蹟>醫治>身體復原與整全,服事,退熱,憐憫、權柄、溫柔,神蹟不是展示能力，而是宣告天國已臨到；耶穌先把破碎的人修復，讓人明白：白白的愛不是獎賞，而是醫治與更新的起頭。,"（聚焦：退熱） 〔見Lk,Mk,Mt敘事脈絡〕","在「醫治彼得岳母」中，耶穌以醫治揭開神國的真相：神蹟不是展示能力，而是宣告天國已臨到；耶穌先把破碎的人修復，讓人明白：恩典不是獎賞，而是醫治與更新的起頭。（聚焦：退熱）〔見Lk,Mk,Mt敘事脈絡〕",Mt 8:14-15 | Mk 1:29-31 | Lk 4:38-39,Mt 8:14-15,Mk 1:29-31,Lk 4:38-39,,,經文明載,合參移位 (馬太主題編排),高,高,【M】[彌賽亞預言] 賽 35:5-6; 賽 53:4-5,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
E-036,夏,約 西元 28 年,彼得家門前,傍晚的醫治與趕鬼,權能>趕鬼>國度與黑暗權勢對決,代替軟弱,擔當疾病,權柄、憐憫、剛強,耶穌驅逐污穢與壓迫，預告十字架的得勝將徹底定案；因此自由不是自我改造的成果，而是祂戰勝的禮物。,"（聚焦：擔當疾病） 〔見Lk,Mk,Mt敘事脈絡〕","在「傍晚的醫治與趕鬼」中，耶穌以醫治揭開神國的真相：耶穌驅逐污穢與壓迫，預告十字架的得勝將徹底定案；因此自由不是自我改造的成果，而是祂戰勝的禮物。（聚焦：擔當疾病）〔見Lk,Mk,Mt敘事脈絡〕",Mt 8:16-17 | Mk 1:32-34 | Lk 4:40-41,Mt 8:16-17,Mk 1:32-34,Lk 4:40-41,,,經文明載,經文段落連結,高,高,【M】[彌賽亞預言] 創 3:15; 賽 61:1; 詩 107:13-14,這些舊約的盼望/意象在耶穌身上被放大成全，指向祂就是神所應許的拯救者。,事件
